Gender,Age_at_Matriculation,Marital_Status_Binary,Special_Needs_Status,Mother_Education_Level,Father_Education_Level,Mother_Occupation,Father_Occupation,First_Generation_Student,UTME_PostUME_Score,Secondary_School_Exit_Grade,Study_Mode,Faculty,Year_of_Study,Non_Resident_Student,Hostel_Residency,School_Fees_Payment_Status,Fee_Arrears_Status,Bursary_Scholarship_Status,Units_Registered_Semester_1,Units_Passed_Semester_1,Assessments_Sat_Semester_1,Units_No_Assessment_Semester_1,GPA_Semester_1_5pt,Pass_Rate_Semester_1,Units_Registered_Semester_2,Units_Passed_Semester_2,Assessments_Sat_Semester_2,Units_No_Assessment_Semester_2,GPA_Semester_2_5pt,Pass_Rate_Semester_2,CGPA_5point_Scale,GPA_Change,Dropout_Status
1,20,0,0,19,12,5,9,1,127.3,122.0,1,Engineering,2,1,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1
1,19,0,0,1,3,3,3,0,142.5,160.0,1,Engineering,5,1,1,0,0,0,6,6,6,0,3.5,1.0,6,6,6,0,3.42,1.0,3.46,-0.08,0
1,19,0,0,37,37,9,9,1,124.8,122.0,1,Engineering,3,1,0,0,0,0,6,0,0,0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,1
0,20,0,0,38,37,5,3,1,119.6,122.0,1,Sciences,2,1,1,1,0,0,6,6,8,0,3.36,1.0,6,5,10,0,3.1,0.833,3.23,-0.26,0
0,45,1,0,37,38,9,9,1,141.5,100.0,0,Sciences,1,0,1,1,0,0,6,5,9,0,3.08,0.833,6,6,6,0,3.25,1.0,3.16,0.17,0
1,50,1,0,37,37,9,7,1,114.8,133.1,0,Arts,1,0,0,1,1,0,5,5,10,0,2.96,1.0,5,5,17,5,2.88,1.0,2.92,-0.08,0
0,18,0,0,19,38,7,10,1,128.4,142.0,1,Arts,1,1,1,1,0,1,7,7,9,0,3.32,1.0,8,8,8,0,3.59,1.0,3.46,0.27,0
1,22,0,0,37,37,9,9,1,113.1,119.0,1,Social_Sciences,4,1,1,0,0,0,5,0,5,0,0.0,0.0,5,0,5,0,0.0,0.0,0.0,0.0,1
0,21,0,0,1,1,9,9,1,129.3,137.0,1,Social_Sciences,2,0,0,1,0,1,6,6,8,0,3.47,1.0,6,6,7,0,3.54,1.0,3.5,0.07,0
0,18,0,0,1,19,4,7,1,123.0,138.0,1,Medicine,3,1,1,0,1,0,6,5,9,0,2.85,0.833,6,2,14,0,3.38,0.333,3.12,0.53,1
0,18,0,0,38,19,5,7,1,130.6,139.0,1,Sciences,1,1,0,1,0,0,6,6,6,0,3.08,1.0,6,5,7,0,3.55,0.833,3.32,0.47,0
0,18,0,0,19,38,9,9,1,119.3,136.0,1,Engineering,5,1,0,1,0,1,8,7,8,0,3.3,0.875,8,7,8,0,3.3,0.875,3.3,0.0,0
0,19,0,0,19,37,4,9,1,130.2,133.0,1,Engineering,3,1,1,1,0,0,6,0,6,0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,1
0,21,0,0,1,1,4,7,1,111.8,110.0,1,Arts,1,1,0,1,0,1,6,6,7,0,2.64,1.0,6,5,8,0,2.75,0.833,2.7,0.11,0
0,18,0,0,38,37,5,5,1,137.1,149.0,1,Medicine,1,1,0,1,0,1,5,4,7,0,3.31,0.8,5,5,5,0,3.0,1.0,3.16,-0.31,0
0,20,0,0,19,37,9,3,1,120.7,127.0,1,Engineering,1,1,0,1,0,0,6,5,6,0,3.3,0.833,6,0,7,0,0.0,0.0,1.65,-3.3,1
0,18,0,0,19,38,5,8,1,137.4,137.0,1,Law,1,1,1,1,0,0,6,1,10,0,3.0,0.167,6,2,14,0,2.75,0.333,2.88,-0.25,0
0,18,0,0,19,1,5,4,1,127.3,135.0,1,Law,2,1,0,1,0,0,7,7,8,0,3.33,1.0,8,8,8,0,3.64,1.0,3.49,0.31,0
0,20,0,0,3,19,3,5,0,136.3,137.0,1,Engineering,2,1,1,1,0,0,5,4,8,1,3.12,0.8,5,4,8,2,3.06,0.8,3.09,-0.06,0
0,18,0,0,19,19,7,7,1,124.6,140.0,1,Engineering,1,1,0,1,0,0,7,6,7,0,2.92,0.857,7,6,8,0,3.38,0.857,3.15,0.46,0
0,21,0,0,1,1,9,8,1,120.3,122.0,1,Social_Sciences,2,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
0,20,0,0,1,38,4,7,1,121.8,127.0,1,Medicine,1,1,1,1,0,0,7,7,14,0,2.86,1.0,8,8,9,0,2.86,1.0,2.86,0.0,0
0,18,0,0,19,19,1,1,1,125.5,142.0,1,Sciences,1,1,0,1,0,0,8,7,12,0,3.21,0.875,8,7,12,0,3.21,0.875,3.21,0.0,0
0,19,0,0,1,38,4,7,1,114.9,125.0,1,Arts,2,1,1,1,0,1,6,6,8,0,3.34,1.0,6,6,7,0,3.07,1.0,3.2,-0.27,0
0,19,0,0,19,19,3,7,1,123.9,126.0,1,Engineering,2,0,0,1,0,0,7,6,8,0,3.32,0.857,8,7,9,0,3.53,0.875,3.42,0.21,0
0,18,0,0,19,38,9,9,1,157.0,151.0,1,Arts,3,1,1,1,1,1,6,5,8,0,2.9,0.833,6,4,12,0,2.75,0.667,2.82,-0.15,0
0,21,0,0,19,38,7,8,1,116.4,115.0,1,Social_Sciences,1,1,0,1,0,0,6,6,9,0,2.84,1.0,6,6,9,0,3.32,1.0,3.08,0.48,0
0,18,0,0,19,19,3,3,1,131.0,138.0,1,Social_Sciences,2,1,1,1,0,0,5,5,9,2,3.17,1.0,5,4,7,0,3.25,0.8,3.21,0.08,0
0,20,0,0,19,1,9,9,1,122.1,135.0,1,Law,2,1,1,1,0,0,5,5,6,0,3.0,1.0,5,5,6,0,3.08,1.0,3.04,0.08,0
1,19,0,0,3,3,1,10,0,118.8,127.0,1,Law,1,1,1,1,0,0,7,6,9,0,3.23,0.857,7,6,7,0,3.43,0.857,3.33,0.2,0
1,21,0,0,4,5,4,2,0,150.0,150.0,1,Law,2,0,0,1,0,0,6,5,15,0,2.96,0.833,6,5,17,0,2.64,0.833,2.8,-0.32,0
1,20,0,0,42,3,125,124,0,130.0,125.0,1,Sciences,1,1,1,1,0,0,6,6,7,0,3.21,1.0,6,4,9,0,3.35,0.667,3.28,0.14,0
1,18,0,0,1,1,4,6,1,138.8,143.0,1,Arts,1,0,0,0,0,0,5,3,9,0,2.83,0.6,5,2,8,0,3.38,0.4,3.1,0.55,0
0,19,0,0,19,1,9,5,1,134.5,138.0,0,Sciences,4,1,1,1,0,0,6,6,6,0,3.17,1.0,6,6,8,0,3.59,1.0,3.38,0.42,0
1,34,0,0,2,37,3,9,0,131.4,130.0,0,Social_Sciences,5,0,1,1,0,0,5,5,6,0,3.1,1.0,5,5,9,0,3.36,1.0,3.23,0.26,0
